"","Y","W","U","X","M1","M2","M3","M4"
"1",2,3,4,5,0,0,0,0
"2",2,3,4,6,0,0,0,0
"3",2,3,4,7,0,0,0,0
"4",2,3,4,8,0,0,0,0
"5",2,3,5,4,0,0,0,0
"6",2,3,5,6,0,0,0,0
"7",2,3,5,7,0,0,0,0
"8",2,3,5,8,0,0,0,0
"9",2,3,6,4,0,0,0,0
"10",2,3,6,5,0,0,0,0
"11",2,3,6,7,0,0,0,0
"12",2,3,6,8,0,0,0,0
"13",2,3,7,4,0,0,0,0
"14",2,3,7,5,0,0,0,0
"15",2,3,7,6,0,0,0,0
"16",2,3,7,8,0,0,0,0
"17",2,3,8,4,0,0,0,0
"18",2,3,8,5,0,0,0,0
"19",2,3,8,6,0,0,0,0
"20",2,3,8,7,0,0,0,0
"21",2,4,3,5,0,0,0,0
"22",2,4,3,6,0,0,0,0
"23",2,4,3,7,0,0,0,0
"24",2,4,3,8,0,0,0,0
"25",2,4,5,3,0,0,0,0
"26",2,4,5,6,0,0,0,0
"27",2,4,5,7,1,1,0,0
"28",2,4,5,8,0,1,1,1
"29",2,4,6,3,0,0,0,0
"30",2,4,6,5,0,0,0,0
"31",2,4,6,7,0,0,0,0
"32",2,4,6,8,0,0,0,0
"33",2,4,7,3,0,0,0,0
"34",2,4,7,5,1,0,0,0
"35",2,4,7,6,0,0,0,0
"36",2,4,7,8,0,0,0,0
"37",2,4,8,3,0,0,0,0
"38",2,4,8,5,0,0,0,0
"39",2,4,8,6,0,0,0,0
"40",2,4,8,7,0,0,0,0
"41",2,5,3,4,0,0,0,0
"42",2,5,3,6,0,0,0,0
"43",2,5,3,7,0,0,0,0
"44",2,5,3,8,0,0,0,0
"45",2,5,4,3,0,0,0,0
"46",2,5,4,6,0,0,0,0
"47",2,5,4,7,0,0,0,0
"48",2,5,4,8,0,0,1,0
"49",2,5,6,3,0,0,0,0
"50",2,5,6,4,0,0,0,0
"51",2,5,6,7,0,0,0,0
"52",2,5,6,8,0,0,0,0
"53",2,5,7,3,0,0,0,0
"54",2,5,7,4,0,0,0,0
"55",2,5,7,6,0,0,0,0
"56",2,5,7,8,0,0,0,0
"57",2,5,8,3,0,0,0,0
"58",2,5,8,4,0,0,0,0
"59",2,5,8,6,0,0,0,0
"60",2,5,8,7,0,0,0,0
"61",2,6,3,4,0,0,0,0
"62",2,6,3,5,0,0,0,0
"63",2,6,3,7,0,0,0,0
"64",2,6,3,8,0,0,0,0
"65",2,6,4,3,0,0,0,0
"66",2,6,4,5,0,0,0,0
"67",2,6,4,7,0,0,0,0
"68",2,6,4,8,0,0,0,0
"69",2,6,5,3,0,0,0,0
"70",2,6,5,4,0,0,0,0
"71",2,6,5,7,0,0,0,0
"72",2,6,5,8,0,0,0,0
"73",2,6,7,3,0,0,0,0
"74",2,6,7,4,0,0,0,0
"75",2,6,7,5,0,0,0,0
"76",2,6,7,8,0,0,0,0
"77",2,6,8,3,0,0,0,0
"78",2,6,8,4,0,0,0,0
"79",2,6,8,5,0,0,0,0
"80",2,6,8,7,0,0,0,0
"81",2,7,3,4,0,0,0,0
"82",2,7,3,5,0,0,0,0
"83",2,7,3,6,0,0,0,0
"84",2,7,3,8,0,0,0,0
"85",2,7,4,3,0,0,0,0
"86",2,7,4,5,0,0,0,0
"87",2,7,4,6,0,0,0,0
"88",2,7,4,8,0,0,0,0
"89",2,7,5,3,0,0,0,0
"90",2,7,5,4,0,0,0,0
"91",2,7,5,6,0,0,0,0
"92",2,7,5,8,0,0,0,0
"93",2,7,6,3,0,0,0,0
"94",2,7,6,4,0,0,0,0
"95",2,7,6,5,0,0,0,0
"96",2,7,6,8,0,0,0,0
"97",2,7,8,3,0,0,0,0
"98",2,7,8,4,0,0,0,0
"99",2,7,8,5,0,0,1,1
"100",2,7,8,6,0,0,0,0
"101",2,8,3,4,0,0,0,0
"102",2,8,3,5,0,0,0,0
"103",2,8,3,6,0,0,0,0
"104",2,8,3,7,0,0,0,0
"105",2,8,4,3,0,0,0,0
"106",2,8,4,5,0,0,0,0
"107",2,8,4,6,0,0,0,0
"108",2,8,4,7,0,0,0,0
"109",2,8,5,3,0,0,0,0
"110",2,8,5,4,0,0,0,0
"111",2,8,5,6,0,0,0,0
"112",2,8,5,7,0,0,0,0
"113",2,8,6,3,0,0,0,0
"114",2,8,6,4,0,0,0,0
"115",2,8,6,5,0,0,0,0
"116",2,8,6,7,0,0,0,0
"117",2,8,7,3,0,0,0,0
"118",2,8,7,4,0,0,0,0
"119",2,8,7,5,0,0,1,0
"120",2,8,7,6,0,0,0,0
"121",3,2,4,5,0,0,0,0
"122",3,2,4,6,0,0,0,0
"123",3,2,4,7,0,0,0,0
"124",3,2,4,8,0,0,0,0
